protein_ac,gene_name,protein_name,entrez_id
Q71RS6,SLC24A5,Sodium/potassium/calcium exchanger 5,283652
P10176,COX8A,Cytochrome c oxidase subunit 8A,1351
Q2M385,MPEG1,Macrophage-expressed gene 1 protein,219972
Q9H6X4,TMEM134,Transmembrane protein 134,80194
Q9Y5L2,HILPDA,Hypoxia-inducible lipid droplet-associated protein,29923
O94952,FBXO21,F-box only protein 21,23014
Q9NQ55,PPAN,Suppressor of SWI4 1 homolog,692312
P58012,FOXL2,Forkhead box protein L2,668
Q14526,HIC1,Hypermethylated in cancer 1 protein,3090
Q9Y296,TRAPPC4,Trafficking protein particle complex subunit 4,51399
Q6ZNA1,ZNF836,Zinc finger protein 836,162962
Q7Z769,SLC35E3,Solute carrier family 35 member E3,55508
Q8WXB1,METTL21A,Protein N-lysine methyltransferase METTL21A,151194
Q9UM73,ALK,ALK tyrosine kinase receptor,238
P43378,PTPN9,Tyrosine-protein phosphatase non-receptor type 9,5780
Q5BKX8,CAVIN4,Caveolae-associated protein 4,347273
P08559,PDHA1,Pyruvate dehydrogenase E1 component subunit alpha,5160
Q10588,BST1,ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 2,683
O94991,SLITRK5,SLIT and NTRK-like protein 5,26050
Q9BSB4,ATG101,Autophagy-related protein 101,60673
Q0VDF9,HSPA14,Heat shock 70 kDa protein 14,51182
Q15077,P2RY6,P2Y purinoceptor 6,5031
Q8N806,UBR7,Putative E3 ubiquitin-protein ligase UBR7,55148
Q6IN84,MRM1,rRNA methyltransferase 1,79922
P01568,IFNA21,Interferon alpha-21,3452
Q5VT97,SYDE2,Rho GTPase-activating protein SYDE2,84144
Q9NZ43,USE1,Vesicle transport protein USE1,55850
Q06432,CACNG1,Voltage-dependent calcium channel gamma-1 subunit,786
O75223,GGCT,Gamma-glutamylcyclotransferase,79017
Q13332,PTPRS,Receptor-type tyrosine-protein phosphatase S,5802
Q9Y5X9,LIPG,Endothelial lipase,9388
Q9UKN1,MUC12,Mucin-12,10071
P0CI25,TRIM49,Tripartite motif-containing protein 49,57093
P43155,CRAT,Carnitine O-acetyltransferase,1384
O60284,ST18,Suppression of tumorigenicity 18 protein,9705
P84085,ARF5,ADP-ribosylation factor 5,381
P52630,STAT2,Signal transducer and activator of transcription 2,6773
Q9HAZ2,PRDM16,Histone-lysine N-methyltransferase PRDM16,63976
Q9BTE1,DCTN5,Dynactin subunit 5,84516
Q92800,EZH1,Histone-lysine N-methyltransferase EZH1,2145
Q96HW7,INTS4,Integrator complex subunit 4,92105
O75319,DUSP11,RNA/RNP complex-1-interacting phosphatase,8446
Q53LP3,SOWAHC,Ankyrin repeat domain-containing protein SOWAHC,65124
P0DPD7,EEF1AKMT4,EEF1A lysine methyltransferase 4,110599564
Q99706,KIR2DL4,Killer cell immunoglobulin-like receptor 2DL4,3805
Q9Y3E5,PTRH2,Peptidyl-tRNA hydrolase 2,51651
Q8N8L2,ZNF491,Zinc finger protein 491,126069
Q9UBK2,PPARGC1A,Peroxisome proliferator-activated receptor gamma coactivator 1-alpha,10891
Q9H228,S1PR5,Sphingosine 1-phosphate receptor 5,53637
Q9Y6K0,CEPT1,Choline/ethanolaminephosphotransferase 1,10390
P06454,PTMA,Prothymosin alpha,5757
Q8N412,STPG2,Sperm-tail PG-rich repeat-containing protein 2,285555
Q14693,LPIN1,Phosphatidate phosphatase LPIN1,23175
Q12852,MAP3K12,Mitogen-activated protein kinase kinase kinase 12,7786
Q86WK9,PAQR7,Membrane progestin receptor alpha,164091
P10909,CLU,Clusterin,1191
P45974,USP5,Ubiquitin carboxyl-terminal hydrolase 5,8078
Q9Y678,COPG1,Coatomer subunit gamma-1,22820
Q14681,KCTD2,BTB/POZ domain-containing protein KCTD2,23510
O95567,C22orf31,Uncharacterized protein C22orf31,25770
P23297,S100A1,Protein S100-A1,6271
P01100,FOS,Proto-oncogene c-Fos,2353
Q6UXG2,KIAA1324,UPF0577 protein KIAA1324,57535
Q9NV88,INTS9,Integrator complex subunit 9,55756
Q53HC9,EIPR1,EARP and GARP complex-interacting protein 1,7260
Q9BV10,ALG12,Dol-P-Man:Man(7)GlcNAc(2)-PP-Dol alpha-1,79087
Q9GZM8,NDEL1,Nuclear distribution protein nudE-like 1,81565
Q03181,PPARD,Peroxisome proliferator-activated receptor delta,5467
Q9H1Z9,TSPAN10,Tetraspanin-10,83882
Q68CZ6,HAUS3,HAUS augmin-like complex subunit 3,79441
Q9H8J5,MANSC1,MANSC domain-containing protein 1,54682
Q8WXC3,PYDC1,Pyrin domain-containing protein 1,260434
Q9Y2T7,YBX2,Y-box-binding protein 2,51087
Q9UI09,NDUFA12,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 12,55967
P59797,SELENOV,Selenoprotein V,348303
Q9UI33,SCN11A,Sodium channel protein type 11 subunit alpha,11280
Q5W0B1,OBI1,ORC ubiquitin ligase 1,79596
Q6NUJ5,PWWP2B,PWWP domain-containing protein 2B,170394
Q8N5S3,C2orf73,Uncharacterized protein C2orf73,129852
A6NFR6,C5orf60,Uncharacterized protein C5orf60,285679
O75923,DYSF,Dysferlin,8291
Q32P51,HNRNPA1L2,Heterogeneous nuclear ribonucleoprotein A1-like 2,144983
Q9Y5W8,SNX13,Sorting nexin-13,23161
Q8N3J9,ZNF664,Zinc finger protein 664,144348
Q8TBK2,SETD6,N-lysine methyltransferase SETD6,79918
Q9NRN7,AASDHPPT,L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase,60496
Q9NYM9,BET1L,BET1-like protein,51272
P28331,NDUFS1,NADH-ubiquinone oxidoreductase 75 kDa subunit,4719
Q96FT7,ASIC4,Acid-sensing ion channel 4,55515
P53567,CEBPG,CCAAT/enhancer-binding protein gamma,1054
O60674,JAK2,Tyrosine-protein kinase JAK2,3717
Q96MY7,FAM161B,Protein FAM161B,145483
Q16661,GUCA2B,Guanylate cyclase activator 2B,2981
Q9UBB5,MBD2,Methyl-CpG-binding domain protein 2,8932
Q8NG75,OR5T1,Olfactory receptor 5T1,390155
Q9Y5Z6,B3GALT1,Beta-1,8708
Q9NY93,DDX56,Probable ATP-dependent RNA helicase DDX56,54606
Q7Z3Z0,KRT25,Keratin,147183
Q96CC6,RHBDF1,Inactive rhomboid protein 1,64285
Q86XK2,FBXO11,F-box only protein 11,80204
P56385,ATP5ME,ATP synthase subunit e,521
Q15814,TBCC,Tubulin-specific chaperone C,6903
O60243,HS6ST1,Heparan-sulfate 6-O-sulfotransferase 1,9394
Q6YHU6,THADA,Thyroid adenoma-associated protein,63892
Q14627,IL13RA2,Interleukin-13 receptor subunit alpha-2,3598
O75044,SRGAP2,SLIT-ROBO Rho GTPase-activating protein 2,23380
P98066,TNFAIP6,Tumor necrosis factor-inducible gene 6 protein,7130
Q8IWZ5,TRIM42,Tripartite motif-containing protein 42,287015
Q9NU23,LYRM2,LYR motif-containing protein 2,57226
Q9Y251,HPSE,Heparanase,10855
P45381,ASPA,Aspartoacylase,443
Q8WTR2,DUSP19,Dual specificity protein phosphatase 19,142679
Q7KYR7,BTN2A1,Butyrophilin subfamily 2 member A1,11120
Q7Z698,SPRED2,Sprouty-related,200734
P51956,NEK3,Serine/threonine-protein kinase Nek3,4752
Q8TE60,ADAMTS18,A disintegrin and metalloproteinase with thrombospondin motifs 18,170692
P61626,LYZ,Lysozyme C,4069
O75369,FLNB,Filamin-B,2317
Q9Y2W6,TDRKH,Tudor and KH domain-containing protein,11022
Q9Y5K3,PCYT1B,Choline-phosphate cytidylyltransferase B,9468
Q9UNP9,PPIE,Peptidyl-prolyl cis-trans isomerase E,10450
Q14416,GRM2,Metabotropic glutamate receptor 2,2912
A1A4G5,LNP1,Leukemia NUP98 fusion partner 1,348801
Q8NFH3,NUP43,Nucleoporin Nup43,348995
Q8NHG8,ZNRF2,E3 ubiquitin-protein ligase ZNRF2,223082
Q9BWK5,CYREN,Cell cycle regulator of non-homologous end joining,78996
A0AVK6,E2F8,Transcription factor E2F8,79733
Q14749,GNMT,Glycine N-methyltransferase,27232
P49753,ACOT2,Acyl-coenzyme A thioesterase 2,10965
Q6L8G9,KRTAP5-6,Keratin-associated protein 5-6,440023
Q86XJ1,GAS2L3,GAS2-like protein 3,283431
Q8WVZ9,KBTBD7,Kelch repeat and BTB domain-containing protein 7,84078
P54756,EPHA5,Ephrin type-A receptor 5,2044
Q9P032,NDUFAF4,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 4,29078
P36888,FLT3,Receptor-type tyrosine-protein kinase FLT3,2322
Q2TAA8,TSNAXIP1,Translin-associated factor X-interacting protein 1,55815
P31269,HOXA9,Homeobox protein Hox-A9,3205
P22301,IL10,Interleukin-10,3586
O60779,SLC19A2,Thiamine transporter 1,10560
O14807,MRAS,Ras-related protein M-Ras,22808
A6NMK7,CPSF4L,Putative cleavage and polyadenylation specificity factor subunit 4-like protein,642843
Q9NRD8,DUOX2,Dual oxidase 2,50506
Q9H7F4,TMEM185B,Transmembrane protein 185B,79134
O96007,MOCS2,Molybdopterin synthase catalytic subunit,4338
O60346,PHLPP1,PH domain leucine-rich repeat-containing protein phosphatase 1,23239
Q8WWC4,MAIP1,m-AAA protease-interacting protein 1,79568
Q15223,NECTIN1,Nectin-1,5818
Q9HAV4,XPO5,Exportin-5,57510
Q9HB58,SP110,Sp110 nuclear body protein,3431
Q01432,AMPD3,AMP deaminase 3,272
Q99645,EPYC,Epiphycan,1833
O15551,CLDN3,Claudin-3,1365
Q6ZN66,GBP6,Guanylate-binding protein 6,163351
Q10472,GALNT1,Polypeptide N-acetylgalactosaminyltransferase 1,2589
Q96JH8,RADIL,Ras-associating and dilute domain-containing protein,55698
O95388,WISP1,WNT1-inducible-signaling pathway protein 1,8840
Q9UHI8,ADAMTS1,A disintegrin and metalloproteinase with thrombospondin motifs 1,9510
Q9NV06,DCAF13,DDB1- and CUL4-associated factor 13,25879
Q9Y2B1,RXYLT1,Ribitol-5-phosphate xylosyltransferase 1,10329
O95487,SEC24B,Protein transport protein Sec24B,10427
Q7Z6J8,UBE3D,E3 ubiquitin-protein ligase E3D,90025
P22466,GAL,Galanin peptides,51083
Q0P6D6,CCDC15,Coiled-coil domain-containing protein 15,80071
P56159,GFRA1,GDNF family receptor alpha-1,2674
Q96JG8,MAGED4,Melanoma-associated antigen D4,81557
Q8NAU1,FNDC5,Fibronectin type III domain-containing protein 5,252995
P11940,PABPC1,Polyadenylate-binding protein 1,26986
O75865,TRAPPC6A,Trafficking protein particle complex subunit 6A,79090
P31641,SLC6A6,Sodium- and chloride-dependent taurine transporter,6533
Q9NR55,BATF3,Basic leucine zipper transcriptional factor ATF-like 3,55509
O00443,PIK3C2A,Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha,5286
Q99466,NOTCH4,Neurogenic locus notch homolog protein 4,4855
Q5T5A8,LCE3C,Late cornified envelope protein 3C,353144
P05067,APP,Amyloid-beta precursor protein,351
Q8N4M1,SLC44A3,Choline transporter-like protein 3,126969
Q8N6T7,SIRT6,NAD-dependent protein deacetylase sirtuin-6,51548
Q7Z403,TMC6,Transmembrane channel-like protein 6,11322
Q9Y2M5,KLHL20,Kelch-like protein 20,27252
A1L162,ERICH2,Glutamate-rich protein 2,285141
Q8NG31,KNL1,Kinetochore scaffold 1,57082
Q8TEU7,RAPGEF6,Rap guanine nucleotide exchange factor 6,51735
P51800,CLCNKA,Chloride channel protein ClC-Ka,1187
Q96TC7,RMDN3,Regulator of microtubule dynamics protein 3,55177
Q9Y616,IRAK3,Interleukin-1 receptor-associated kinase 3,11213
Q9NYB0,TERF2IP,Telomeric repeat-binding factor 2-interacting protein 1,54386
O60879,DIAPH2,Protein diaphanous homolog 2,1730
Q8TB22,SPATA20,Spermatogenesis-associated protein 20,64847
O00585,CCL21,C-C motif chemokine 21,6366
Q4G0S4,CYP27C1,Cytochrome P450 27C1,339761
O60307,MAST3,Microtubule-associated serine/threonine-protein kinase 3,23031
Q5T5J6,SWT1,Transcriptional protein SWT1,54823
P53673,CRYBA4,Beta-crystallin A4,1413
Q07890,SOS2,Son of sevenless homolog 2,6655
Q8WYA0,IFT81,Intraflagellar transport protein 81 homolog,28981
Q15652,JMJD1C,Probable JmjC domain-containing histone demethylation protein 2C,221037
Q13200,PSMD2,26S proteasome non-ATPase regulatory subunit 2,5708
P54725,RAD23A,UV excision repair protein RAD23 homolog A,5886
O43813,LANCL1,Glutathione S-transferase LANCL1,10314
O14901,KLF11,Krueppel-like factor 11,8462
O14818,PSMA7,Proteasome subunit alpha type-7,5688
P63146,UBE2B,Ubiquitin-conjugating enzyme E2 B,7320
Q9Y5L3,ENTPD2,Ectonucleoside triphosphate diphosphohydrolase 2,954
Q9UIU6,SIX4,Homeobox protein SIX4,51804
P01282,VIP,VIP peptides,7432
Q13148,TARDBP,TAR DNA-binding protein 43,23435
Q8TC84,FANK1,Fibronectin type 3 and ankyrin repeat domains protein 1,92565
Q6DKJ4,NXN,Nucleoredoxin,64359
Q9UBB4,ATXN10,Ataxin-10,25814
Q15349,RPS6KA2,Ribosomal protein S6 kinase alpha-2,6196
Q99958,FOXC2,Forkhead box protein C2,2303
Q8IXM3,MRPL41,39S ribosomal protein L41,64975
O95727,CRTAM,Cytotoxic and regulatory T-cell molecule,56253
Q496A3,SPATS1,Spermatogenesis-associated serine-rich protein 1,221409
P20941,PDC,Phosducin,5132
Q8N9I5,FADS6,Fatty acid desaturase 6,283985
Q9BYX4,IFIH1,Interferon-induced helicase C domain-containing protein 1,64135
Q96NY7,CLIC6,Chloride intracellular channel protein 6,54102
Q9Y2S2,CRYL1,Lambda-crystallin homolog,51084
A7XYQ1,SOBP,Sine oculis-binding protein homolog,55084
Q5W0B7,TMEM236,Transmembrane protein 236,653567
P01019,AGT,Angiotensinogen,183
P21941,MATN1,Cartilage matrix protein,4146
Q9BT81,SOX7,Transcription factor SOX-7,83595
Q5U623,ATF7IP2,Activating transcription factor 7-interacting protein 2,80063
O60716,CTNND1,Catenin delta-1,1500
P52735,VAV2,Guanine nucleotide exchange factor VAV2,7410
Q13045,FLII,Protein flightless-1 homolog,2314
Q9Y2J0,RPH3A,Rabphilin-3A,22895
P35626,GRK3,Beta-adrenergic receptor kinase 2,157
Q9HBV2,SPACA1,Sperm acrosome membrane-associated protein 1,81833
O14880,MGST3,Microsomal glutathione S-transferase 3,4259
P57076,CFAP298,Cilia- and flagella-associated protein 298,56683
P48775,TDO2,Tryptophan 2,6999
P49798,RGS4,Regulator of G-protein signaling 4,5999
Q86TE4,LUZP2,Leucine zipper protein 2,338645
P15927,RPA2,Replication protein A 32 kDa subunit,6118
P52943,CRIP2,Cysteine-rich protein 2,1397
P22894,MMP8,Neutrophil collagenase,4317
P07492,GRP,Gastrin-releasing peptide,2922
Q68DE3,USF3,Basic helix-loop-helix domain-containing protein USF3,205717
Q9UPS6,SETD1B,Histone-lysine N-methyltransferase SETD1B,23067
P20338,RAB4A,Ras-related protein Rab-4A,5867
P30626,SRI,Sorcin,6717
Q9NXB9,ELOVL2,Elongation of very long chain fatty acids protein 2,54898
Q9NVS9,PNPO,Pyridoxine-5'-phosphate oxidase,55163
B7ZBB8,PPP1R3G,Protein phosphatase 1 regulatory subunit 3G,648791
P16284,PECAM1,Platelet endothelial cell adhesion molecule,5175
P35442,THBS2,Thrombospondin-2,7058
Q8TC20,CAGE1,Cancer-associated gene 1 protein,285782
P41159,LEP,Leptin,3952
P50120,RBP2,Retinol-binding protein 2,5948
Q14596,NBR1,Next to BRCA1 gene 1 protein,4077
Q92520,FAM3C,Protein FAM3C,10447
Q8NA56,TTC29,Tetratricopeptide repeat protein 29,83894
Q02297,NRG1,Pro-neuregulin-1,3084
Q9Y2A4,ZNF443,Zinc finger protein 443,10224
Q8WUY9,DEPDC1B,DEP domain-containing protein 1B,55789
Q53FA7,TP53I3,Quinone oxidoreductase PIG3,9540
P0C0E4,RAB40AL,Ras-related protein Rab-40A-like,282808
Q8TF45,ZNF418,Zinc finger protein 418,147686
Q68E01,INTS3,Integrator complex subunit 3,65123
O95988,TCL1B,T-cell leukemia/lymphoma protein 1B,9623
P31150,GDI1,Rab GDP dissociation inhibitor alpha,2664
Q9H3V2,MS4A5,Membrane-spanning 4-domains subfamily A member 5,64232
Q6DD88,ATL3,Atlastin-3,25923
Q9P1F3,ABRACL,Costars family protein ABRACL,58527
O60264,SMARCA5,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5,8467
O95897,OLFM2,Noelin-2,93145
Q06265,EXOSC9,Exosome complex component RRP45,5393
Q4G0A6,MINDY4,Probable ubiquitin carboxyl-terminal hydrolase MINDY-4,84182
Q6PJF5,RHBDF2,Inactive rhomboid protein 2,79651
O95424,DEXI,Dexamethasone-induced protein,28955
Q9UK11,ZNF223,Zinc finger protein 223,7766
Q8N4Q0,ZADH2,Prostaglandin reductase 3,284273
P41594,GRM5,Metabotropic glutamate receptor 5,2915
Q8IVV2,LOXHD1,Lipoxygenase homology domain-containing protein 1,125336
O15235,MRPS12,28S ribosomal protein S12,6183
P00742,F10,Coagulation factor X,2159
Q04941,PLP2,Proteolipid protein 2,5355
Q99666,RGPD5,RANBP2-like and GRIP domain-containing protein 5/6,84220
Q14761,PTPRCAP,Protein tyrosine phosphatase receptor type C-associated protein,5790
P06748,NPM1,Nucleophosmin,4869
Q16820,MEP1B,Meprin A subunit beta,4225
Q9Y547,HSPB11,Intraflagellar transport protein 25 homolog,51668
Q9ULG6,CCPG1,Cell cycle progression protein 1,9236
Q6P1M0,SLC27A4,Long-chain fatty acid transport protein 4,10999
P0C881,RSPH10B,Radial spoke head 10 homolog B,222967
Q86TG1,TMEM150A,Transmembrane protein 150A,129303
O14770,MEIS2,Homeobox protein Meis2,4212
Q5U5R9,HECTD2,Probable E3 ubiquitin-protein ligase HECTD2,143279
Q96GM1,PLPPR2,Phospholipid phosphatase-related protein type 2,64748
Q99496,RNF2,E3 ubiquitin-protein ligase RING2,6045
Q5VWN6,TASOR2,Protein TASOR 2,54906
P38936,CDKN1A,Cyclin-dependent kinase inhibitor 1,1026
Q9UKX3,MYH13,Myosin-13,8735
Q9BX84,TRPM6,Transient receptor potential cation channel subfamily M member 6,140803
Q8WTU2,SSC4D,Scavenger receptor cysteine-rich domain-containing group B protein,136853
P01266,TG,Thyroglobulin,7038
Q9UBD6,RHCG,Ammonium transporter Rh type C,51458
Q9NWF9,RNF216,E3 ubiquitin-protein ligase RNF216,54476
O15523,DDX3Y,ATP-dependent RNA helicase DDX3Y,8653
Q15034,HERC3,Probable E3 ubiquitin-protein ligase HERC3,8916
Q96SD1,DCLRE1C,Protein artemis,64421
P10070,GLI2,Zinc finger protein GLI2,2736
Q96QT6,PHF12,PHD finger protein 12,57649
Q6PEZ3,ZNF287,ZNF287 protein,57336
Q8TED9,AFAP1L1,Actin filament-associated protein 1-like 1,134265
Q15257,PTPA,Serine/threonine-protein phosphatase 2A activator,5524
Q8IYS4,C16orf71,Uncharacterized protein C16orf71,146562
Q96NT1,NAP1L5,Nucleosome assembly protein 1-like 5,266812
Q6UWL6,KIRREL2,Kin of IRRE-like protein 2,84063
P78314,SH3BP2,SH3 domain-binding protein 2,6452
P21802,FGFR2,Fibroblast growth factor receptor 2,2263
P14210,HGF,Hepatocyte growth factor,3082
Q05086,UBE3A,Ubiquitin-protein ligase E3A,7337
Q96AG4,LRRC59,Leucine-rich repeat-containing protein 59,55379
Q6UXD5,SEZ6L2,Seizure 6-like protein 2,26470
O94979,SEC31A,Protein transport protein Sec31A,22872
Q8IVW4,CDKL3,Cyclin-dependent kinase-like 3,51265
Q8TC29,ENKUR,Enkurin,219670
Q9NVA1,UQCC1,Ubiquinol-cytochrome-c reductase complex assembly factor 1,55245
O15318,POLR3G,DNA-directed RNA polymerase III subunit RPC7,10622
Q8WUG5,SLC22A17,Solute carrier family 22 member 17,51310
Q86YF9,DZIP1,Zinc finger protein DZIP1,22873
Q9Y272,RASD1,Dexamethasone-induced Ras-related protein 1,51655
Q8IXM2,BAP18,Chromatin complexes subunit BAP18,124944
Q8WTW3,COG1,Conserved oligomeric Golgi complex subunit 1,9382
Q9H6T3,RPAP3,RNA polymerase II-associated protein 3,79657
Q2TAL8,QRICH1,Glutamine-rich protein 1,54870
P60842,EIF4A1,Eukaryotic initiation factor 4A-I,1973
Q96K58,ZNF668,Zinc finger protein 668,79759
P48165,GJA8,Gap junction alpha-8 protein,2703
Q8WX94,NLRP7,NACHT,199713
Q6P1N9,TATDN1,Putative deoxyribonuclease TATDN1,83940
Q9BPX1,HSD17B14,17-beta-hydroxysteroid dehydrogenase 14,51171
E9PRG8,C11orf98,Uncharacterized protein C11orf98,102288414
Q9BXU3,TEX13A,Testis-expressed protein 13A,56157
P08047,SP1,Transcription factor Sp1,6667
A8K4G0,CD300LB,CMRF35-like molecule 7,124599
Q7Z5B4,RIC3,Protein RIC-3,79608
P58872,RHBDL3,Rhomboid-related protein 3,162494
P62851,RPS25,40S ribosomal protein S25,6230
O95239,KIF4A,Chromosome-associated kinesin KIF4A,24137
O60749,SNX2,Sorting nexin-2,6643
Q9Y692,GMEB1,Glucocorticoid modulatory element-binding protein 1,10691
Q7Z5J4,RAI1,Retinoic acid-induced protein 1,10743
Q15389,ANGPT1,Angiopoietin-1,284
P50336,PPOX,Protoporphyrinogen oxidase,5498
Q99954,SMR3A,Submaxillary gland androgen-regulated protein 3A,26952
Q96EE3,SEH1L,Nucleoporin SEH1,81929
Q8N680,ZBTB2,Zinc finger and BTB domain-containing protein 2,57621
Q15007,WTAP,Pre-mRNA-splicing regulator WTAP,9589
P17693,HLA-G,HLA class I histocompatibility antigen,3135
P55199,ELL,RNA polymerase II elongation factor ELL,8178
Q9BW72,HIGD2A,HIG1 domain family member 2A,192286
Q3LXA3,TKFC,Triokinase/FMN cyclase,26007
Q6WCQ1,MPRIP,Myosin phosphatase Rho-interacting protein,23164
Q8N7B6,PACRGL,PACRG-like protein,133015
Q15126,PMVK,Phosphomevalonate kinase,10654
P43694,GATA4,Transcription factor GATA-4,2626
Q9UNI6,DUSP12,Dual specificity protein phosphatase 12,11266
Q07820,MCL1,Induced myeloid leukemia cell differentiation protein Mcl-1,4170
Q5JTZ9,AARS2,Alanine--tRNA ligase,57505
Q2M1P5,KIF7,Kinesin-like protein KIF7,374654
Q9UBI1,COMMD3,COMM domain-containing protein 3,23412
Q12830,BPTF,Nucleosome-remodeling factor subunit BPTF,2186
P56645,PER3,Period circadian protein homolog 3,8863
Q9Y6M5,SLC30A1,Zinc transporter 1,7779
Q96FX7,TRMT61A,tRNA (adenine(58)-N(1))-methyltransferase catalytic subunit TRMT61A,115708
Q14432,PDE3A,cGMP-inhibited 3',5139
Q9H2M3,BHMT2,S-methylmethionine--homocysteine S-methyltransferase BHMT2,23743
Q9H6B1,ZNF385D,Zinc finger protein 385D,79750
Q8WUJ0,STYX,Serine/threonine/tyrosine-interacting protein,6815
Q9NSK7,C19orf12,Protein C19orf12,83636
Q15777,MPPED2,Metallophosphoesterase MPPED2,744
Q8NFJ5,GPRC5A,Retinoic acid-induced protein 3,9052
Q5VY43,PEAR1,Platelet endothelial aggregation receptor 1,375033
Q9Y3B3,TMED7,Transmembrane emp24 domain-containing protein 7,51014
Q9NPI7,KRCC1,Lysine-rich coiled-coil protein 1,51315
Q8IY84,NIM1K,Serine/threonine-protein kinase NIM1,167359
Q9H6K5,PRR36,Proline-rich protein 36,80164
Q96B97,SH3KBP1,SH3 domain-containing kinase-binding protein 1,30011
O43175,PHGDH,D-3-phosphoglycerate dehydrogenase,26227
O95859,TSPAN12,Tetraspanin-12,23554
P57764,GSDMD,Gasdermin-D,79792
Q96KV7,WDR90,WD repeat-containing protein 90,197335
Q04900,CD164,Sialomucin core protein 24,8763
Q13003,GRIK3,Glutamate receptor ionotropic,2899
Q567V2,MPV17L2,Mpv17-like protein 2,84769
Q8TBG9,SYNPR,Synaptoporin,132204
Q6NX45,ZNF774,Zinc finger protein 774,342132
P37802,TAGLN2,Transgelin-2,8407
Q96FT9,IFT43,Intraflagellar transport protein 43 homolog,112752
Q9UIK5,TMEFF2,Tomoregulin-2,23671
Q9H0W5,CCDC8,Coiled-coil domain-containing protein 8,83987
Q9UQK1,PPP1R3C,Protein phosphatase 1 regulatory subunit 3C,5507
A6H8Z2,FAM221B,Protein FAM221B,392307
Q96CW1,AP2M1,AP-2 complex subunit mu,1173
